OPENMRS_CONCEPT_UUID,OE2_PANEL_ID,OE2_PANEL_NAME,SAMPLE_TYPE
002ad2a6-f129-477c-b551-afa4bdc4e9de,210,Suven 1,38
017d4b6d-9b7e-4373-ab4b-63685a9a9f9f,347,Zaggle Health Checkup,4
0278e9cf-d4f0-468c-839f-068ed3b6db99,259,MDx Diabetes Advanced,4
038162f3-e080-4373-a5c5-1deb2c101ddf,287,MDx Coagulation Profile - Comprehensive,3
03e1aa44-4249-470b-b1ea-a6a43d6b7356,279,Care Heart Add On,3
04ad933f-8534-42ec-ab16-6e3cff2def49,107,ANTI PHOSPHOLIPID ANTIBODY SCREEN,2
05a0cbfd-9a9f-4545-acff-e24aa7f8d949,92,PANCREATITIS PROFILE,2
07c0b294-52c2-47ea-a60f-061abe4c035d,109,CARDIAC RISK SCREENING,2
07f68973-2aea-44cd-86ee-a719b7154906,204,DOCMED MASTER HEALTH CHECKUP FEMALE,2
0906d1a1-8ecc-4533-b8f3-c0092a086616,114,RELIANCE LEVEL 3   HIV 1&2,2
0a18688b-1427-4769-a5f7-8a3933b14fa9,190,ASTER HEALTH CHECK UP,2
0b454933-6ed4-4ecd-b86c-31fccce1f861,231,Vanamali Organics Pvt Ltd,4
0c43713d-c235-4e07-be8e-b631b8aabb9f,314,MDx Prime Senior Male-X1,2
0c82f006-bf23-4422-a400-ab172e68d57c,301,MDx Arthritis Advanced-X1,2
0c856ac4-dfb3-4390-9bc8-400cf07137ec,227,Glycosylated Hemoglobin(Hba1c),4
0dcf6384-5d67-4178-a0c2-f6c985feb347,228,Sanjeevani 30 M,2
0de6eaab-e750-4ea1-b56c-0710fa61c416,192,DIA CAMP,38
0e1c400b-de1f-4b7a-bfa4-7af0c1e55a2c,312,MDx Prime Comprehensive Male-X1,2
0ed33b87-e661-498e-875e-50fe2fea81fe,217,Suven Profile November,4
1019aaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,53,Complete blood count,4
1158b604-6349-48c4-b2eb-269f8a8f9446,198,COMPREHENSIVE HEALTH CHECK 2,2
1276e70f-2b98-4104-855d-7865f1bcff2b,182,RELIANCE LEVEL 5,2
12e805be-cb3c-4550-9ba6-df261a79cb7d,335,Data Marshall Health Checkup for ESIC Employees,4
12ee5811-cc5e-4003-9728-c65adeaf96d4,63,AEGON LEVEL 1,38
12efb124-7b4e-4d81-a988-ad67cf5babf2,75,MDx Fertility Comprehensive Female,2
132f8914-a156-4f74-a2d0-66d080452866,179,MAX NEW YORK CATEGORY 7,2
13f45873-ace5-49e3-8ddc-1390639a8940,283,Sequential Bio Chemical Test (SBT)-13 With Tridot Test For HIV,2
14d2fc32-91ab-4f96-b293-adbbfa55297e,293,Preventive Health Package,2
158928ec-6a65-4871-8860-e3fc7c945402,263,Liver Function Test (LFT) With GGT,2
159645aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,52,Cerebrospinal Fluid Examination,40
161199aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,46,Cytopathology,42
161422aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,30,Hemoglobin with electrophoresis,4
161425aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,28,Sedimentation test,4
161426aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,27,Malarial parasites by smear test,4
161429aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,25,Hemoglobin only,4
161430aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,23,Routine blood panel,4
161432aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,21,Absolute eosinophil count test,4
161436aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,49,Clotting time test,4
161437aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,47,Anemia panel,4
161446aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,44,Routine urine,38
161458aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,38,Vaginal fluid examination,46
161461aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,37,Acid fast bacilli test,4
161474aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,35,Hepatitis C serological test,2
161475aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,34,Hepatitis B serological test,2
161478aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,32,Anti-streptolysin O test,4
161479aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,29,Rheumatoid factor test,4
161483aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,26,Serum chemistry panel,2
161486aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,24,Culture panel,
161487aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,22,Diabetes panel,4
161488aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,20,Renal function panel,2
161492aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,51,Leutinizing hormone panel,2
161493aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,50,Alpha fetoprotein test,4
161498aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,48,Creatinine phosphokinase measurement,2
161501aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,45,C-reactive protein test,4
161506aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,43,Thyroid panel,2
161508aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,42,Ceruloplasmin test,4
161510aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,41,Carcinoembryonic antigen,2
161512aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,40,Serum iron profile,2
161515aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,39,Lipase test,4
161518aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,36,Cardiac enzyme test,4
161532aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,33,Serum TORCH panel,2
161533aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,31,Serum TORCHS panel,2
162630aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,19,Basic metabolic panel,4
163436aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,17,Coagulation profile,3
163679aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,13,Bacterial culture panel,
163700aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,18,Complete blood count (auto),4
163701aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,16,complete blood count with manual count and manual differential,4
163702aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,15,Clotting Panel,4
163708aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,14,Glucose tolerance test 5 specimens (75g) panel,4
166375aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,12,Disseminated intravascular coagulation (DIC) screening panel,4
167178aa-aaaa-aaaa-aaaa-aaaaaaaaaaaaaaaa,11,Post-prandial blood glucose panel,4
1675c3d0-5f3d-4fc3-8c9a-3bb82686cbab,180,FERTILITY PROFILE,2
171f3c2d-93ff-417a-9db5-9e587d38191a,199,EXECUTIVE CARDIAC CHECK 2,2
183a1871-a44c-490f-ae5f-d00141a3c80d,172,PRE-OP PROFILE,2
18b320bc-6bf7-4bf4-be94-6bdb50d5400c,324,MDx Surgical Advanced-X1,2
196789f4-12d4-453b-980a-2c2c23b9fdd5,159,TATA AIG LIFE BLOOD PROFILE A,2
1a044ed0-97a8-4097-a4fb-fbc71575a051,336,EPE Filters Health Checkup,4
1cb8ab6c-efc3-49f5-bcd7-5012bf39b695,205,DOCMED MASTER HEALTH CHECKUP MALE,2
1dcc9da5-c3da-4ee0-8205-bb0330c67933,173,FASTING GLUCOSE PROFILE,3
1dd7ec78-3065-4ebd-8cdf-50717e2eb0f2,255,MDx Anaemia Basic,2
1ef11d72-0d3d-4a36-9071-393db5f07d65,232,MDx Bone Basic,2
2087167e-d23f-4dc7-a9e4-28d8baa6965d,349,DhanLakshmi Packaging Industries Pvt Ltd Health Checkup,4
20c8ea42-62a5-4f1b-bfd8-a807c8794a42,276,MDx Surgical Basic,4
2340c8cf-f9d3-4bc5-97bf-4214c6a9474b,206,Suven Life Seinces Profile,4
2430340f-0507-481d-bd85-39a3a05d32f6,143,Pre-Study Biochemistry,2
24476e4d-5728-408a-9360-3804318ce237,86,HIV Monitoring Profile,4
24c34ffa-6e6e-4c22-90af-c8b6499b97e7,119,RELIANCE FG-15,2
24e82442-1125-443f-9e11-9ca22d834749,270,MDx HealthCheck Basic Male,2
252c2ec6-511e-4bb1-9d84-02da0f731032,123,HSBC CATEGORY-3,2
254d7b4f-e4ea-4512-acc0-2be3733484df,280,Care Health Assure 1 - 22,4
2665555e-acee-49ed-99a6-b06c89849875,104,DIABETIC PROFILE - II,2
2744ce04-a7f7-4d0e-aae9-e0ba886d797e,183,DIABETIC PROFILE III,2
285685e0-0483-47be-8a41-d210683b3b1c,158,TATA AIG LIFE CATEGORY 1,38
2963b1f0-b946-43b4-9a46-3a0c7238c879,77,MDx Fever Basic,4
2e902968-2f24-405f-9526-1d64eaab2a38,171,Kidney Function Test,2
2f78cc84-c196-4a57-a5cc-1c17145e89e6,343,Stuam Health Checkup,4
30a4abba-7333-4313-8d7d-21e8f64ba8b6,308,MDx Prime Advanced Male-X1,4
31dc69b9-6c6d-4161-96aa-c8413540d1f6,209,Urine Metabolic Profile,38
328a6de9-b327-4d93-af85-65e53bb3bbe8,234,CEC Profile,2
32dd0f6f-dd42-4ae1-a48b-a92c0b3cc126,74,AEGON LEVEL 9,2
332bada3-9655-49d0-9b5d-c07cb4dd118e,113,RELIANCE LEVEL 3,2
3380430c-7922-4c1b-8da4-dce6391e6e11,184,TN PROJECT PROFILE,2
33865d5e-9416-4470-b1af-bfb8a08ba4f2,97,Torch 10 Profile (IgG And IgM),2
3464a3f0-b630-4192-b15c-4d1b90b4ce2a,334,LV Prasad Health Checkup,4
359893c3-d862-49c8-b5ed-8890687240b5,332,MedPlus Factory Health Checkup,4
35cad59a-d590-4e9b-83f5-1a701ec1cc61,266,Single Adult Plan Package (Wallet Points Only),2
36ceb2f8-a564-493d-98e9-5e135e508fd1,136,SBI CATEGORY-8,2
36e02c85-658c-4489-9bb7-90c1e239a90c,124,HSBC BIO,2
38501ea1-e0e4-4d49-adc9-3521c02735e3,289,MDx Thrombotic Profile - Extended,3
39530237-4155-4efd-87d7-55cd1e16b977,85,HIV CONFIRMATION PROFILE II,2
3978ef83-439f-45e2-8bc1-311785236908,163,TATA AIG LIFE CATEGORY 4,2
39ad5f0e-3355-4bf2-87f9-6f8119aee21d,333,Data Marshall Health Checkup,4
39b9f82f-7f56-47f7-a75b-4486eb7bc4cc,297,Single Adult Plan Package (Wallet Points Only) - Regional,2
39bf815f-028d-4421-aa29-f14226df017e,351,B2B Software Technologies Ltd Health Checkup,4
39ef93e0-9dc2-43c0-8606-a855411812d8,352,PES ENGINEERS PVT LTD HEALTH CHECKUP,4
3af480b3-aa63-4fb2-adfb-a56b848c1dd7,200,WELL WOMAN CHECK 2,2
3bdcbedb-67c5-42bb-9f2b-4fddf81bccc3,296,Add On 150 Package (Wallet Points Only),4
